City_ID,City_Name,Locality_ID,Locality_Name,Concatenate,File_Locality_Name,Script
2,Bangalore,51468,,BangaloreWilson Garden,Wilson Garden,sk`nAg|sxM`CtL^fCAb@yFbHeFnG}DtFeRtX|KvChNhDh@AhAsEjA_BdCeCbHsChGyB~BsBrC_EdAsBv@uAhAs@xBQ`Iw@nIg@vFg@rCoArCmBrAyAtAwDh@}IaMiAaIu@_LwAqGJyJv@{D\\iC_@iA[sLmC
2,Bangalore,51513,,BangaloreShivajinagar,Shivajinagar,gghnAwyuxMaAjCsBbIeHfKa@bBUxEo@jDoD|JgC`LiBbKdG`X~IeW`DzAfH|AnD~@n@Nj@L|A^l@LVFRFxA\\rCx@NHPDb@JdAZNFPD^N`A^~@b@dAXbAX\\Fj@BtBFlEFhDVfCe@bJkCdPeGDcIJmE`CaRrC_RaO{DcIuBsIeCeGiA}C[iAe@u@k@eBcCgAWaCJkCSwDiBgFwAoFqAoEqBg@KYh@k@tA
2,Bangalore,#N/A,,BangaloreRT Nagar,RT Nagar,spnnAklsxMoCtGm@nB]~BI~COfD_BjKo@xIjKx@lE\\vCEjDPjGd@nHrAbFbAt@\\nAYT{@Ts@p@}@b@cAt@GZOl@{ArBeAbAG`BHxAWfAq@z@m@EgGuEcBiF_DqHgDsCByFoCsCmAaCqBsDuAmAMyOsE
2,Bangalore,50179,,BangaloreSanjay Nagar,Sanjay Nagar,ocrnAw}pxMc@bJq@vIkA|Jy@zKOrO?lFbCl@nDbBbATdA?lAxKv@RlKe@i@fWNjFJ|F`@lExBzDlQsOC|FnKFjVoXvFch@`AeLbEoD`@i@fA_AdCuFzG_JoXqGc\\_JwGqCuHeBwF_AeA[gAEgENoOeA_D]c@rG
2,Bangalore,#N/A,,BangalorePillagana Halli,Pillagana Halli,yxlmAwtoxMpAog@tM?zGi@vPXdNs@x\\pd@jGb^sMpRwCGsBdBaLtAm_@kSw[{]
2,Bangalore,,,BangaloreAlakabelalu,Alakabelalu,am_mAkadxMcAoDtB{V|VmXnMgF~F~MMbNoU~|@gKqCyKoX
2,Bangalore,,,BangaloreBisuvanahalli,Bisuvanahalli,s`uoAuzhxM}WsSs\\uEiEmL}Ui@wOfNnDv_@}OlTpl@nDdCgJDgHbGM`Eq@`EgAZdAV`AExABhEDfCp@pCmD[}@YmBq@{KkDiCbJjm@|IlQwF~AwIi@gX
2,Bangalore,,,BangaloreGiddenahalli,Giddenahalli,kv_mAmnqyMcAaLkE_ATmHFeDtB}ExHs@_BpFi@jCGrBzAY`Ds@gAgCGQ@OUyFcIr@x@wBnCoFbEGhErAb\\jIvAnH`AzBxE`Gq@vBWh@oAw@UOOOSMGGECCBCDC@EA?EAEEIGGG?E@?D?D?DCHERERAHAD?@?BB\\@N?Na@fAe@p@]hAcAfCm@d@IRqIyDwGs@eSfB
2,Bangalore,,,BangaloreChoudadenahalli,Choudadenahalli,ahsmAk~pyMe`@zKhD_y@X[V_DTUVMPQJS~CwNna@se@|VbY_OhY}LnZqHvZ
2,Bangalore,,,BangaloreChansandra,Chansandra,}oenAq|qyMab@gFSyDM}AO{AQ}AEm@Io@SyAKo@CU?SBWHWNm@Z{ADeBEcBCw@Eu@E[EYIYMUQYSSKKGKEKEKIy@G[E_@Iy@Fu@XqBSyE]wAWoA]iAIoAB_IzJ\\lHyCrUaA{@`G`@dCoAdc@tKnDq@rMeCzIa@fBk@lCa@nG
